,gene_name,product,start,stop,strand,operon,length,cog
b1314,ycjR,3-dehydro-D-guloside 4-epimerase,1376034,1376822,+,ompG;ymjB;ycjV;ycjU;ycjT;ycjS;ycjR;ycjQ;ycjP;ycjO;ycjN;ycjM,789,Carbohydrate transport and metabolism
b1315,ycjS,D-glucoside 3-dehydrogenase,1376832,1377887,+,ompG;ymjB;ycjV;ycjU;ycjT;ycjS;ycjR;ycjQ;ycjP;ycjO;ycjN;ycjM,1056,Function unknown
b1316,ycjT,kojibiose phosphorylase,1377884,1380151,+,ompG;ymjB;ycjV;ycjU;ycjT;ycjS;ycjR;ycjQ;ycjP;ycjO;ycjN;ycjM,2268,Carbohydrate transport and metabolism
b1317,ycjU,&beta;-phosphoglucomutase,1380148,1380807,+,ompG;ymjB;ycjV;ycjU;ycjT;ycjS;ycjR;ycjQ;ycjP;ycjO;ycjN;ycjM,660,Function unknown
b1320,ycjW,DNA-binding transcriptional repressor YcjW,1382963,1383961,-,ycjW,999,Transcription
b1321,ycjX,DUF463 domain-containing protein YcjX,1384117,1385514,+,tyrR;ycjF;ycjX,1398,Function unknown
b1322,ycjF,DUF697 domain-containing inner membrane protein YcjF,1385511,1386572,+,tyrR;ycjF;ycjX,1062,Function unknown
b1323,tyrR,DNA-binding transcriptional dual regulator TyrR,1386720,1388261,+,tyrR;ycjF;ycjX,1542,Transcription
b1324,tpx,lipid hydroperoxide peroxidase,1388305,1388811,-,tpx,507,"Posttranslational modification, protein turnover, chaperones"
b1326,mpaA,murein tripeptide amidase A,1389870,1390598,-,mpaA;ymjC;ymjD;ycjY,729,Amino acid transport and metabolism
b1327,ycjY,putative hydrolase YcjY,1390933,1391853,-,mpaA;ymjC;ymjD;ycjY,921,Function unknown
b1328,pgrR,DNA-binding transcriptional repressor PgrR,1391991,1392890,+,pgrR,900,Transcription
b1329,mppA,murein tripeptide ABC transporter periplasmic binding protein,1393227,1394840,+,mppA,1614,Amino acid transport and metabolism
b1330,ynaI,small conductance mechanosensitive channel YnaI,1394891,1395922,-,ynaI,1032,Cell wall/membrane/envelope biogenesis
b1332,ynaJ,DUF2534 domain-containing protein YnaJ,1397365,1397622,+,ynaJ,258,Function unknown
b1333,uspE,universal stress protein with a role cellular motility,1397672,1398622,-,uspE,951,Signal transduction mechanisms
b1334,fnr,DNA-binding transcriptional dual regulator FNR,1398774,1399526,-,fnr,753,Signal transduction mechanisms
b1335,ogt,methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase,1399721,1400236,-,ogt;abgA;abgB;abgT,516,"Replication, recombination and repair"
b1336,abgT,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,1400247,1401773,-,abgA;abgB;abgT;ogt,1527,Coenzyme transport and metabolism
b1337,abgB,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,1401810,1403255,-,abgA;abgB;abgT;ogt,1446,Amino acid transport and metabolism
b1338,abgA,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,1403255,1404565,-,abgA;abgB;abgT;ogt,1311,Amino acid transport and metabolism
b1339,abgR,putative LysR-type DNA-binding transcriptional regulator AbgR,1404741,1405649,+,abgR,909,Transcription
b1340,smrA,DNA endonuclease SmrA,1405979,1406542,+,smrA,564,Function unknown
b1341,dgcM,diguanylate cyclase DgcM,1406563,1407795,-,dgcM,1233,Signal transduction mechanisms
b1342,zntB,Zn<sup>2+</sup>:H<sup>+</sup> symporter,1408050,1409033,+,zntB,984,Inorganic ion transport and metabolism
b1343,dbpA,ATP-dependent RNA helicase DbpA,1409511,1410884,+,dbpA,1374,"Replication, recombination and repair"
b1344,ttcA,tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA,1411013,1411948,-,ttcA,936,"Cell cycle control, cell division, chromosome partitioning"
b1345,intR,Rac prophage; putative integrase,1412000,1413235,-,recE;recT;ralR;rcbA;xisR;intR,1236,"Replication, recombination and repair"
b1346,xisR,Rac prophage; excisionase,1413237,1413452,-,recE;recT;ralR;rcbA;xisR;intR,216,Function unknown
b1347,rcbA,Rac prophage; double-strand break reduction protein,1413531,1413740,-,recE;recT;ralR;rcbA;xisR;intR,210,"Replication, recombination and repair"
b1348,ralR,Rac prophage; endodeoxyribonuclease toxin RalR,1413733,1413927,-,recE;recT;ralR;rcbA;xisR;intR,195,RNA processing and modification
b1349,recT,"Rac prophage; recombinase, DNA renaturation",1413984,1414793,-,recE;recT;ralR;rcbA;xisR;intR,810,"Replication, recombination and repair"
b1350,recE,"Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific",1414786,1417386,-,recE;recT;ralR;rcbA;xisR;intR,2601,"Replication, recombination and repair"
b1351,racC,Rac prophage; protein RacC,1417488,1417763,-,racC,276,No COG Annotation
b1352,kilR,Rac prophage; inhibitor of FtsZ,1418008,1418229,-,kilR;ydaE,222,No COG Annotation
b1355,ydaG,Rac prophage; uncharacterized protein YdaG,1419322,1419456,-,ydaG;ydaF,135,No COG Annotation
b1356,racR,Rac prophage; DNA-binding transcriptional repressor RacR,1419765,1420241,-,racR,477,Transcription
b1357,ydaS,Rac prophage; toxin YdaS,1420365,1420661,+,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS,297,No COG Annotation
b1358,ydaT,Rac prophage; protein YdaT,1420684,1421106,+,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS,423,No COG Annotation
b1359,ydaU,Rac prophage; DUF1376 domain-containing protein YdaU,1421119,1421976,+,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS,858,Function unknown
b1360,ydaV,Rac prophage; putative ATP-binding protein YdaV,1421983,1422729,+,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS,747,"Replication, recombination and repair"
b1361,ydaW,Rac prophage; putative uncharacterized protein YdaW,1422752,1423312,+,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS,561,No COG Annotation
b1362,rzpR,Rac prophage; putative endopeptidase RzpR,1423345,1423644,+,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS,300,No COG Annotation
b1363,trkG,Rac prophage; K<sup>+</sup> transporter TrkG,1423782,1425239,+,trkG,1458,Inorganic ion transport and metabolism
b1365,ynaK,Rac prophage; ParB-like nuclease domain-containing protein YnaK,1425377,1425640,+,ydaY;ynaK,264,Transcription
b1366,ydaY,Rac prophage; putative uncharacterized protein YdaY,1425621,1425980,+,ydaY;ynaK,360,No COG Annotation
b1368,ynaA,Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA,1426454,1427482,+,lomR;ynaA,1029,No COG Annotation
b1370,insH-5,Rac prophage; IS5 transposase and trans-activator,1427746,1428726,-,insH-5,981,"Replication, recombination and repair"
b1372,stfR,Rac prophage; putative prophage side tail fiber protein StfR,1429049,1432411,+,tfaR;stfR,3363,Function unknown
b1374,pinR,Rac prophage; putative site-specific recombinase,1433084,1433674,-,pinR,591,"Replication, recombination and repair"
b1375,ynaE,Rac prophage; uncharacterized protein YnaE,1433991,1434224,-,ynaE,234,Transcription
b1377,ompN,outer membrane porin N,1435760,1436893,-,ompN;ydbK,1134,Cell wall/membrane/envelope biogenesis
b1378,ydbK,putative pyruvate-flavodoxin oxidoreductase,1437260,1440784,-,ompN;ydbK,3525,Energy production and conversion
b1379,hslJ,lipoprotein implicated in Novobiocin resistance,1441321,1441743,-,hslJ,423,"Posttranslational modification, protein turnover, chaperones"
b1380,ldhA,D-lactate dehydrogenase,1441854,1442843,-,ldhA,990,Energy production and conversion
b1381,ydbH,PF11739 family protein YdbH,1443051,1445690,+,ydbL;ynbE;ydbH,2640,Function unknown
b1382,ynbE,lipoprotein YnbE,1445687,1445872,+,ydbL;ynbE;ydbH,186,Function unknown
b1383,ydbL,DUF1318 domain-containing protein YdbL,1445880,1446206,+,ydbL;ynbE;ydbH,327,Function unknown
b1384,feaR,DNA-binding transcriptional activator FeaR,1446378,1447283,-,feaR,906,Transcription
b1385,feaB,phenylacetaldehyde dehydrogenase,1447519,1449018,+,feaB,1500,Energy production and conversion
b1386,tynA,copper-containing amine oxidase,1449076,1451349,-,tynA,2274,"Secondary metabolites biosynthesis, transport and catabolism"
b1387,paaZ,"oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",1451597,1453642,-,paaZ,2046,Lipid transport and metabolism
b1388,paaA,"phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit",1453927,1454856,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,930,"Secondary metabolites biosynthesis, transport and catabolism"
b1389,paaB,"phenylacetyl-CoA 1,2-epoxidase subunit B",1454868,1455155,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,288,"Secondary metabolites biosynthesis, transport and catabolism"
b1390,paaC,"phenylacetyl-CoA 1,2-epoxidase, structural subunit",1455164,1455910,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,747,"Secondary metabolites biosynthesis, transport and catabolism"
b1391,paaD,phenylacetate degradation protein,1455925,1456422,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,498,Function unknown
b1392,paaE,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit",1456430,1457500,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,1071,Energy production and conversion
b1393,paaF,"putative 2,3-dehydroadipyl-CoA hydratase",1457497,1458264,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,768,Lipid transport and metabolism
b1394,paaG,"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",1458264,1459052,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,789,Lipid transport and metabolism
b1395,paaH,G6716-MONOMER,1459054,1460481,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,1428,Lipid transport and metabolism
b1396,paaI,phenylacetyl-CoA thioesterase,1460471,1460893,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,423,"Secondary metabolites biosynthesis, transport and catabolism"
b1397,paaJ,&beta;-ketoadipyl-CoA thiolase,1460893,1462098,+,paaJ;paaK;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,1206,Lipid transport and metabolism
b1398,paaK,phenylacetate-CoA ligase,1462125,1463438,+,paaK;paaJ;paaI;paaH;paaG;paaF;paaE;paaD;paaC;paaB;paaA,1314,"Secondary metabolites biosynthesis, transport and catabolism"
b1399,paaX,DNA-binding transcriptional repressor PaaX,1463539,1464489,+,paaY;paaX,951,Transcription
b1400,paaY,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",1464471,1465061,+,paaY;paaX,591,Function unknown
b1406,pdxI,pyridoxine 4-dehydrogenase,1474221,1475081,+,pdxI,861,Energy production and conversion
b1407,ydbD,DUF2773 domain-containing protein YdbD,1475144,1477450,+,ydbD,2307,No COG Annotation
b1408,ynbA,CDP-alcohol phosphatidyltransferase domain-containing protein YnbA,1477621,1478226,+,ynbD;ynbC;ynbB;ynbA,606,Lipid transport and metabolism
b1409,ynbB,putative CDP-diglyceride synthase,1478226,1479122,+,ynbD;ynbC;ynbB;ynbA,897,Lipid transport and metabolism
b1410,ynbC,hydrolase/methyltransferase domain-containing protein YnbC,1479138,1480895,+,ynbD;ynbC;ynbB;ynbA,1758,Lipid transport and metabolism
b1411,ynbD,phosphatase domain-containing protein YnbD,1480909,1482201,+,ynbD;ynbC;ynbB;ynbA,1293,Lipid transport and metabolism
b1412,azoR,FMN dependent NADH:quinone oxidoreductase,1482255,1482860,-,azoR,606,Lipid transport and metabolism
b1413,hrpA,ATP-dependent RNA helicase HrpA,1483061,1486963,+,hrpA,3903,"Replication, recombination and repair"
b1414,ydcF,DUF218 domain-containing protein YdcF,1487235,1488035,+,ydcF,801,Function unknown
b1415,aldA,aldehyde dehydrogenase A,1488232,1489671,+,aldA,1440,Energy production and conversion
b1418,cybB,superoxide oxidase,1490902,1491432,+,cybB,531,Energy production and conversion
b1419,ydcA,protein YdcA,1491677,1491850,+,ydcA,174,No COG Annotation
b1420,mokB,putative regulatory protein MokB,1491962,1492129,-,mokB,168,No COG Annotation
b1424,opgD,glucan biosynthesis protein D,1496856,1498511,+,opgD,1656,Inorganic ion transport and metabolism
b1426,ydcH,protein YdcH,1498651,1498875,+,ydcH,225,Function unknown
b1427,rimL,ribosomal-protein-L12-serine <i>N</i>-acetyltransferase,1498938,1499477,+,rimL,540,"Translation, ribosomal structure and biogenesis"
b1428,ydcK,putative enzyme YdcK,1499469,1500449,-,ydcK,981,Function unknown
b1429,tehA,tellurite resistance protein,1500573,1501565,+,tehA;tehB,993,Inorganic ion transport and metabolism
b1430,tehB,tellurite methyltransferase,1501562,1502155,+,tehA;tehB,594,"Secondary metabolites biosynthesis, transport and catabolism"
b1431,ydcL,DUF3313 domain-containing lipoprotein YdcL,1502457,1503125,+,ydcL,669,Function unknown
b1432,insQ,putative insertion element transposase InsQ,1503717,1504865,+,insQ,1149,"Replication, recombination and repair"
b1434,sutR,DNA-binding transcriptional dual regulator SutR,1506172,1506708,+,sutR,537,Transcription
b1435,rlhA,23S rRNA 5-hydroxycytidine C2501 synthase,1506781,1508742,+,rlhA,1962,"Posttranslational modification, protein turnover, chaperones"
b1436,yncJ,protein YncJ,1508834,1509064,-,yncJ,231,Function unknown
b1438,hicB,antitoxin of the HicA-HicB toxin-antitoxin system,1509508,1509924,+,hicB;hicA,417,Function unknown
b1439,ydcR,fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR,1510003,1511409,+,ydcR,1407,Transcription
b1440,ydcS,putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase,1511654,1512799,+,patD;ydcV;ydcU;ydcT;ydcS,1146,Carbohydrate transport and metabolism
b1441,ydcT,putative ABC transporter ATP-binding protein YdcT,1512817,1513830,+,patD;ydcV;ydcU;ydcT;ydcS,1014,Amino acid transport and metabolism
b1442,ydcU,putative ABC transporter membrane subunit YdcU,1513831,1514772,+,patD;ydcV;ydcU;ydcT;ydcS,942,Inorganic ion transport and metabolism
b1444,patD,&gamma;-aminobutyraldehyde dehydrogenase,1515578,1517002,+,patD;ydcT;ydcU;ydcV;ydcS,1425,Energy production and conversion
b1445,ortT,orphan toxin OrtT,1517389,1517562,+,ortT,174,Function unknown
b1446,ydcY,DUF2526 domain-containing protein YdcY,1517648,1517881,+,ydcY,234,Function unknown
b1447,ydcZ,putative inner membrane protein,1517882,1518331,-,mnaT;ydcZ,450,Function unknown
b1448,mnaT,L-amino acid N-acyltransferase,1518328,1518846,-,mnaT;ydcZ,519,Cell wall/membrane/envelope biogenesis
b1449,curA,NADPH-dependent curcumin/dihydrocurcumin reductase,1519027,1520064,+,curA,1038,Function unknown
b1451,yncD,putative TonB-dependent outer membrane receptor,1520963,1523065,-,yncD,2103,Inorganic ion transport and metabolism
b1452,yncE,PQQ-like domain-containing protein YncE,1523307,1524368,+,yncE,1062,Function unknown
b1454,yncG,putative glutathione <i>S</i>-transferase YncG,1526247,1526864,+,yncG,618,"Posttranslational modification, protein turnover, chaperones"
b1455,yncH,DUF5445 domain-containing protein YncH,1526940,1527152,+,yncH,213,No COG Annotation
b1456,rhsE,RhsE protein in rhs element,1527890,1529938,+,ydcD;rhsE,2049,No COG Annotation
b1459_1,yncI,putative transposase YncI,1530586,1531639,+,yncI,1054,No COG Annotation
b1461,pptA,putative 4-oxalocrotonate tautomerase (4-OT),1533052,1533285,+,pptA,234,Function unknown
b1463,nhoA,arylamine <i>N</i>-acetyltransferase,1534024,1534869,+,nhoA,846,"Secondary metabolites biosynthesis, transport and catabolism"
b1464,yddE,PF02567 family protein YddE,1534965,1535858,-,yddE,894,Function unknown
b1465,narV,nitrate reductase Z subunit &gamma;,1535937,1536617,-,narV;narW;narY;narZ,681,Energy production and conversion
b1466,narW,"NarW, putative private chaperone for NarZ nitrate reductase subunit",1536614,1537309,-,narV;narW;narY;narZ,696,Energy production and conversion
b1467,narY,nitrate reductase Z subunit &beta;,1537309,1538853,-,narV;narW;narY;narZ,1545,Energy production and conversion
b1468,narZ,nitrate reductase Z subunit &alpha;,1538850,1542590,-,narV;narW;narY;narZ,3741,Energy production and conversion
b1469,narU,nitrate/nitrite transporter NarU,1542672,1544060,-,narU,1389,Inorganic ion transport and metabolism
b1471_1,yddK,leucine-rich repeat domain-containing protein YddK,1544758,1545714,-,yddL;yddK;yddJ,957,No COG Annotation
b1472,yddL,putative uncharacterized protein YddL,1545738,1546028,-,yddL;yddK;yddJ,291,No COG Annotation
b1473,yddG,amino acid exporter,1546288,1547169,-,yddG,882,Amino acid transport and metabolism
b1475,fdnH,formate dehydrogenase N subunit &beta;,1550461,1551345,+,fdnG;fdnH;fdnI,885,Energy production and conversion
b1476,fdnI,formate dehydrogenase N subunit &gamma;,1551338,1551991,+,fdnG;fdnH;fdnI,654,Energy production and conversion
b1477,yddM,DNA-binding transcriptional regulator YddM,1552398,1552682,-,yddM,285,Function unknown
b1479,maeA,NAD<sup>+</sup>-dependent malate dehydrogenase,1553972,1555669,-,maeA,1698,Energy production and conversion
b1480,sra,30S ribosomal subunit protein S22,1555826,1555963,-,sra;bdm,138,"Translation, ribosomal structure and biogenesis"
b1482,osmC,osmotically inducible peroxiredoxin OsmC,1556625,1557056,+,osmC,432,"Posttranslational modification, protein turnover, chaperones"
b1483,ddpF,"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF",1557112,1558038,-,ddpF;ddpD;ddpC;ddpB;ddpA;ddpX,927,Amino acid transport and metabolism
b1484,ddpD,"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD",1558031,1559017,-,ddpF;ddpD;ddpC;ddpB;ddpA;ddpX,987,Amino acid transport and metabolism
b1485,ddpC,"putative D,D-dipeptide ABC transporter membrane subunit DdpC",1559014,1559910,-,ddpF;ddpD;ddpC;ddpB;ddpA;ddpX,897,Inorganic ion transport and metabolism
b1487,ddpA,"putative D,D-dipeptide ABC transporter periplasmic binding protein",1560931,1562481,-,ddpF;ddpD;ddpC;ddpB;ddpA;ddpX,1551,Amino acid transport and metabolism
b1488,ddpX,G6782-MONOMER,1562495,1563076,-,ddpF;ddpD;ddpC;ddpB;ddpA;ddpX,582,Cell wall/membrane/envelope biogenesis
b1490,dosC,diguanylate cyclase DosC,1565758,1567140,-,dosP;dosC,1383,Signal transduction mechanisms
b1491,yddW,putative lipoprotein YddW,1567504,1568823,-,yddW,1320,Function unknown
b1492,gadC,XASA-MONOMER,1568954,1570489,-,gadC;gadB,1536,Amino acid transport and metabolism
b1493,gadB,glutamate decarboxylase B,1570645,1572045,-,gadC;gadB,1401,Amino acid transport and metabolism
b1494,pqqL,putative zinc peptidase,1572407,1575202,-,pqqL,2796,"Posttranslational modification, protein turnover, chaperones"
b1495,yddB,putative TonB-dependent receptor,1575247,1577619,-,yddA;yddB,2373,Inorganic ion transport and metabolism
b1496,yddA,ABC transporter family protein YddA,1577657,1579342,-,yddA;yddB,1686,Function unknown
b1497,ydeM,putative anaerobic sulfatase maturation enzyme YdeM,1579633,1580790,-,ydeM;ydeN,1158,Function unknown
b1498,ydeN,putative sulfatase YdeN,1580842,1582524,-,ydeM;ydeN,1683,Inorganic ion transport and metabolism
b1499,ydeO,DNA-binding transcriptional dual regulator YdeO,1582926,1583687,-,ydeO;safA,762,Transcription
b1500,safA,two-component system connector SafA,1583762,1583959,-,ydeO;safA,198,No COG Annotation
b1501,ydeP,putative oxidoreductase YdeP,1584207,1586486,-,ydeP,2280,Energy production and conversion
b1502,ydeQ,putative fimbrial adhesin protein YdeQ,1586820,1587734,-,ydeQ,915,Function unknown
b1503,ydeR,putative fimbrial protein YdeR,1587793,1588296,-,ydeT;ydeS;ydeR,504,Function unknown
b1504,ydeS,putative fimbrial protein YdeS,1588309,1588839,-,ydeT;ydeS;ydeR,531,Function unknown
b1505,ydeT,fimbrial usher domain-containing protein YdeT,1588853,1590001,-,ydeT;ydeS;ydeR,1149,No COG Annotation
b1506_1,yneL,putative HTH-type transcriptional regulator YneL,1590334,1590536,-,yneL,203,No COG Annotation
b1508,hipB,antitoxin/DNA-binding transcriptional repressor HipB,1592176,1592442,-,hipA;hipB,267,Transcription
b1511,lsrK,autoinducer-2 kinase,1598617,1600209,-,lsrK;lsrR,1593,Carbohydrate transport and metabolism
b1512,lsrR,DNA-binding transcriptional repressor LsrR,1600288,1601241,-,lsrK;lsrR,954,Transcription
b1513,lsrA,Autoinducer-2 ABC transporter ATP binding subunit,1601490,1603025,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,1536,Inorganic ion transport and metabolism
b1514,lsrC,Autoinducer-2 ABC transporter membrane subunit LsrC,1603019,1604047,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,1029,Carbohydrate transport and metabolism
b1515,lsrD,Autoinducer-2 ABC transporter membrane subunit LsrD,1604047,1605039,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,993,Carbohydrate transport and metabolism
b1516,lsrB,Autoinducer-2 ABC transporter periplasmic binding protein,1605051,1606073,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,1023,Carbohydrate transport and metabolism
b1517,lsrF,"3-hydroxy-2,4-pentadione 5-phosphate thiolase",1606100,1606975,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,876,Carbohydrate transport and metabolism
b1518,lsrG,"(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",1606999,1607289,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,291,Function unknown
b1519,tam,<i>trans</i>-aconitate 2-methyltransferase,1607346,1608104,+,tam;lsrG;lsrF;lsrB;lsrD;lsrC;lsrA,759,Function unknown
b1520,yneE,PF01062 family inner membrane protein YneE,1608108,1609022,-,yneE,915,Function unknown
b1521,uxaB,ALTRO-OXIDOREDUCT-MONOMER,1609229,1610680,-,uxaB,1452,Carbohydrate transport and metabolism
b1522,dgcF,putative diguanylate cyclase DgcF,1610907,1611854,-,dgcF,948,Signal transduction mechanisms
b1524,glsB,glutaminase 2,1612325,1613251,-,glsB;yneG,927,Amino acid transport and metabolism
b1525,sad,succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad,1613315,1614703,-,sad,1389,Energy production and conversion
b1526,yneJ,putative LysR-type DNA-binding transcriptional regulator YneJ,1614804,1615685,+,yneJ,882,Transcription
b1528,ydeA,YDEA-MONOMER,1617028,1618218,+,ydeA,1191,Carbohydrate transport and metabolism
b1530,marR,DNA-binding transcriptional repressor MarR,1619120,1619554,+,marR;marA;marB,435,Transcription
b1531,marA,DNA-binding transcriptional dual regulator MarA,1619574,1619957,+,marR;marA;marB,384,No COG Annotation
b1532,marB,multiple antibiotic resistance protein,1619989,1620207,+,marR;marA;marB,219,Inorganic ion transport and metabolism
b1533,eamA,cysteine/<i>O</i>-acetylserine exporter EamA,1620238,1621137,-,eamA,900,Amino acid transport and metabolism
b1534,ydeE,dipeptide exporter,1621332,1622519,+,ydeE,1188,Carbohydrate transport and metabolism
b1535,dgcZ,diguanylate cyclase DgcZ,1622960,1623850,-,dgcZ,891,Signal transduction mechanisms
b1536,ydeI,BOF family protein YdeI,1624105,1624497,-,ydeI,393,Function unknown
b1537,ydeJ,PF02464 family protein YdeJ,1624773,1625291,+,ydeJ,519,Function unknown
b1538,dcp,peptidyl-dipeptidase Dcp,1625335,1627380,-,dcp,2046,Amino acid transport and metabolism
b1539,ydfG,3-hydroxy acid dehydrogenase,1627517,1628263,+,ydfG,747,Function unknown
b1540,ydfH,DNA-binding transcriptional repressor YdfH,1628352,1629038,+,ydfH,687,Transcription
b1541,ydfZ,putative selenoprotein YdfZ,1629215,1629418,+,ydfZ,204,Function unknown
b1547,stfQ,Qin prophage; putative prophage side tail fiber protein StfQ,1634885,1635847,-,tfaQ;stfQ;nohA,963,Function unknown
b1549,ydfO,Qin prophage; DUF1398 domain-containing protein YdfO,1637047,1637457,+,ydfO;ynfO,411,No COG Annotation
b1550,gnsB,Qin prophage; protein GnsB,1637609,1637782,-,gnsB,174,Function unknown
b1551,ynfN,Qin prophage; protein YnfN,1637954,1638109,-,ynfN,156,Function unknown
b1552,cspI,Qin prophage; cold shock protein CspI,1638455,1638667,-,cspI,213,Transcription
b1553,rzpQ,Qin prophage; DUF2514 domain-containing protein RzpQ,1639030,1639527,-,essQ;ydfR;rrrQ;rzpQ,498,Function unknown
b1554,rrrQ,Qin prophage; putative lysozyme,1639524,1640057,-,essQ;ydfR;rrrQ;rzpQ,534,Function unknown
b1555,ydfR,Qin prophage; protein YdfR,1640054,1640365,-,essQ;ydfR;rrrQ;rzpQ,312,No COG Annotation
b1556,essQ,Qin prophage; putative prophage lysis protein EssQ,1640370,1640585,-,essQ;ydfR;rrrQ;rzpQ,216,Function unknown
b1557,cspB,Qin prophage; cold shock-like protein CspB,1641339,1641554,-,cspB,216,Transcription
b1558,cspF,Qin prophage; cold shock protein CspF,1641855,1642067,+,cspF,213,Transcription
b1559,ydfT,Qin prophage; putative antitermination protein Q,1642489,1643241,-,ydfU;ydfT,753,Function unknown
b1560,ydfU,Qin prophage; protein YdfU,1643255,1644304,-,ydfU;ydfT,1050,Function unknown
b1561,rem,Qin prophage; protein Rem,1644651,1644902,-,rem,252,No COG Annotation
b1562,hokD,Qin prophage; toxic protein HokD,1645119,1645274,-,hokD;relE;relB,156,No COG Annotation
b1563,relE,Qin prophage; mRNA interferase toxin RelE,1645346,1645633,-,hokD;relE;relB,288,"Cell cycle control, cell division, chromosome partitioning"
b1564,relB,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,1645633,1645872,-,hokD;relE;relB,240,"Replication, recombination and repair"
b1565,ydfV,Qin prophage; protein YdfV,1645897,1646202,+,ydfV,306,No COG Annotation
b1566,flxA,Qin prophage; protein FlxA,1646405,1646737,+,flxA,333,No COG Annotation
b1567,ydfW,Qin prophage; uncharacterized protein YdfW,1647174,1647323,-,dicC;ydfX;ydfW,150,No COG Annotation
b1568,ydfX,Qin prophage; uncharacterized protein YdfX,1647346,1647636,-,dicC;ydfX;ydfW,291,No COG Annotation
b1569,dicC,Qin prophage; DNA-binding transcriptional regulator for DicB,1647620,1647850,-,dicC;ydfX;ydfW,231,No COG Annotation
b1570,dicA,DNA-binding transcriptional dual regulator DicA,1647934,1648341,+,dicA,408,Transcription
b1571,ydfA,Qin prophage; DUF1391 domain-containing protein YdfA,1648508,1648663,+,ydfC;ydfB;ydfA,156,No COG Annotation
b1573,ydfC,Qin prophage; uncharacterized protein YdfC,1648823,1649041,+,ydfC;ydfB;ydfA,219,No COG Annotation
b1575,dicB,Qin prophage; cell division inhibition protein DicB,1649609,1649797,+,intQ;insD-7;ydfE;ydfD;dicB,189,No COG Annotation
b1576,ydfD,Qin prophage; lysis protein,1649794,1649985,+,intQ;insD-7;ydfE;ydfD;dicB,192,Function unknown
b1577,ydfE,Qin prophage; protein YdfE,1650078,1650998,+,intQ;insD-7;ydfE;ydfD;dicB,921,No COG Annotation
b1579,intQ,Qin prophage; putative defective integrase,1651512,1652708,+,intQ;insD-7;ydfE;ydfD;dicB,1197,No COG Annotation
b1580,rspB,putative zinc-binding dehydrogenase RspB,1652896,1653915,-,rspA;rspB,1020,Amino acid transport and metabolism
b1581,rspA,mandelate racemase/muconate lactonizing enzyme family protein RspA,1653927,1655141,-,rspA;rspB,1215,Cell wall/membrane/envelope biogenesis
b1582,ynfA,putative DMT superfamily transporter YnfA,1655347,1655673,-,ynfA,327,Function unknown
